,State,Sex,Age Group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths"
69,Alabama,Male,0,6.0,260.0,2.0,0.0,2.0,4.0
71,Alabama,Male,1,0.0,57.0,0.0,0.0,0.0,0.0
72,Alabama,Male,5,0.0,76.0,3.0,0.0,0.0,5.0
73,Alabama,Male,15,6.0,644.0,1.0,4.0,1.0,13.0
75,Alabama,Male,25,41.0,1115.0,37.0,14.0,2.0,66.0
77,Alabama,Male,35,112.0,1625.0,88.0,38.0,6.0,165.0
79,Alabama,Male,45,298.0,2978.0,210.0,96.0,4.0,419.0
81,Alabama,Male,55,793.0,6937.0,568.0,251.0,27.0,1135.0
82,Alabama,Male,65,1538.0,10043.0,1096.0,554.0,27.0,2105.0
83,Alabama,Male,75,1612.0,10133.0,1130.0,584.0,13.0,2168.0
84,Alabama,Male,85,982.0,7022.0,709.0,342.0,4.0,1355.0
86,Alabama,Female,0,3.0,191.0,4.0,1.0,0.0,4.0
88,Alabama,Female,1,0.0,44.0,5.0,0.0,7.0,8.0
89,Alabama,Female,5,0.0,40.0,7.0,0.0,0.0,7.0
90,Alabama,Female,15,5.0,215.0,3.0,0.0,0.0,13.0
92,Alabama,Female,25,26.0,492.0,24.0,11.0,4.0,41.0
94,Alabama,Female,35,83.0,962.0,54.0,22.0,7.0,118.0
96,Alabama,Female,45,239.0,1969.0,150.0,79.0,3.0,317.0
98,Alabama,Female,55,592.0,4623.0,459.0,201.0,13.0,862.0
99,Alabama,Female,65,1061.0,7314.0,729.0,369.0,17.0,1437.0
100,Alabama,Female,75,1316.0,9883.0,936.0,476.0,13.0,1787.0
101,Alabama,Female,85,1347.0,11734.0,827.0,391.0,3.0,1787.0
120,Alaska,Male,0,0.0,34.0,0.0,0.0,0.0,0.0
122,Alaska,Male,1,0.0,3.0,0.0,0.0,4.0,1.0
123,Alaska,Male,5,0.0,24.0,0.0,0.0,0.0,0.0
124,Alaska,Male,15,0.0,99.0,2.0,0.0,0.0,6.0
126,Alaska,Male,25,7.0,160.0,3.0,0.0,0.0,1.0
128,Alaska,Male,35,2.0,192.0,13.0,5.0,0.0,16.0
130,Alaska,Male,45,4.0,280.0,6.0,1.0,0.0,15.0
132,Alaska,Male,55,19.0,606.0,30.0,10.0,5.0,40.0
133,Alaska,Male,65,55.0,748.0,51.0,30.0,0.0,76.0
134,Alaska,Male,75,55.0,735.0,58.0,29.0,1.0,85.0
135,Alaska,Male,85,37.0,463.0,39.0,18.0,4.0,60.0
137,Alaska,Female,0,0.0,20.0,0.0,0.0,0.0,0.0
139,Alaska,Female,1,0.0,8.0,4.0,0.0,6.0,3.0
140,Alaska,Female,5,0.0,6.0,0.0,0.0,0.0,0.0
141,Alaska,Female,15,5.0,41.0,1.0,4.0,0.0,1.0
143,Alaska,Female,25,5.0,95.0,1.0,4.0,0.0,2.0
145,Alaska,Female,35,5.0,114.0,1.0,7.0,0.0,3.0
147,Alaska,Female,45,8.0,171.0,1.0,7.0,0.0,12.0
149,Alaska,Female,55,17.0,349.0,23.0,3.0,0.0,31.0
150,Alaska,Female,65,24.0,504.0,35.0,17.0,7.0,44.0
151,Alaska,Female,75,33.0,525.0,32.0,21.0,3.0,45.0
152,Alaska,Female,85,38.0,619.0,40.0,19.0,0.0,59.0
171,Arizona,Male,0,0.0,261.0,7.0,0.0,2.0,6.0
173,Arizona,Male,1,2.0,68.0,8.0,0.0,5.0,4.0
174,Arizona,Male,5,7.0,90.0,8.0,3.0,4.0,7.0
175,Arizona,Male,15,28.0,1023.0,25.0,13.0,5.0,42.0
177,Arizona,Male,25,104.0,1854.0,84.0,58.0,2.0,132.0
179,Arizona,Male,35,251.0,2232.0,191.0,139.0,3.0,307.0
181,Arizona,Male,45,626.0,3543.0,502.0,379.0,4.0,757.0
183,Arizona,Male,55,1379.0,7760.0,1224.0,845.0,15.0,1773.0
184,Arizona,Male,65,2188.0,11838.0,1974.0,1385.0,20.0,2796.0
185,Arizona,Male,75,2633.0,13804.0,2375.0,1617.0,15.0,3405.0
186,Arizona,Male,85,1711.0,11180.0,1541.0,969.0,12.0,2295.0
188,Arizona,Female,0,0.0,208.0,6.0,0.0,0.0,3.0
190,Arizona,Female,1,0.0,54.0,8.0,0.0,0.0,8.0
191,Arizona,Female,5,7.0,80.0,1.0,3.0,7.0,4.0
192,Arizona,Female,15,15.0,316.0,18.0,12.0,0.0,21.0
194,Arizona,Female,25,70.0,733.0,58.0,36.0,6.0,94.0
196,Arizona,Female,35,142.0,1065.0,104.0,71.0,8.0,178.0
198,Arizona,Female,45,319.0,2034.0,296.0,204.0,5.0,418.0
200,Arizona,Female,55,829.0,4725.0,756.0,509.0,11.0,1087.0
201,Arizona,Female,65,1423.0,8269.0,1339.0,897.0,19.0,1884.0
202,Arizona,Female,75,1710.0,11357.0,1565.0,1001.0,15.0,2289.0
203,Arizona,Female,85,1733.0,14703.0,1452.0,848.0,10.0,2347.0
222,Arkansas,Male,0,0.0,163.0,3.0,0.0,0.0,5.0
224,Arkansas,Male,1,0.0,30.0,0.0,0.0,7.0,7.0
225,Arkansas,Male,5,0.0,51.0,0.0,0.0,0.0,0.0
226,Arkansas,Male,15,8.0,357.0,1.0,4.0,7.0,10.0
228,Arkansas,Male,25,18.0,608.0,22.0,5.0,2.0,36.0
230,Arkansas,Male,35,48.0,926.0,59.0,18.0,6.0,92.0
232,Arkansas,Male,45,154.0,1674.0,140.0,77.0,8.0,221.0
234,Arkansas,Male,55,397.0,4089.0,405.0,205.0,15.0,612.0
235,Arkansas,Male,65,735.0,5901.0,702.0,377.0,14.0,1074.0
236,Arkansas,Male,75,936.0,6168.0,838.0,469.0,7.0,1314.0
237,Arkansas,Male,85,695.0,4460.0,640.0,351.0,6.0,987.0
239,Arkansas,Female,0,0.0,119.0,4.0,0.0,0.0,3.0
241,Arkansas,Female,1,2.0,24.0,8.0,6.0,6.0,2.0
242,Arkansas,Female,5,0.0,33.0,1.0,0.0,0.0,4.0
243,Arkansas,Female,15,6.0,139.0,4.0,1.0,4.0,3.0
245,Arkansas,Female,25,13.0,276.0,17.0,1.0,0.0,22.0
247,Arkansas,Female,35,34.0,593.0,40.0,10.0,8.0,66.0
249,Arkansas,Female,45,95.0,1158.0,111.0,49.0,4.0,160.0
251,Arkansas,Female,55,280.0,2699.0,295.0,151.0,6.0,432.0
252,Arkansas,Female,65,551.0,4346.0,529.0,278.0,15.0,815.0
253,Arkansas,Female,75,773.0,5662.0,683.0,346.0,10.0,1119.0
254,Arkansas,Female,85,1015.0,7280.0,707.0,353.0,13.0,1380.0
273,California,Male,0,5.0,1071.0,21.0,6.0,0.0,23.0
275,California,Male,1,5.0,213.0,4.0,0.0,1.0,15.0
276,California,Male,5,8.0,355.0,11.0,3.0,6.0,19.0
277,California,Male,15,74.0,3459.0,80.0,38.0,8.0,118.0
279,California,Male,25,393.0,6794.0,338.0,190.0,16.0,557.0
281,California,Male,35,1084.0,8828.0,859.0,586.0,23.0,1379.0
283,California,Male,45,2981.0,15686.0,2392.0,1780.0,45.0,3638.0
285,California,Male,55,6448.0,33823.0,5548.0,3985.0,92.0,8098.0
286,California,Male,65,8784.0,46627.0,8124.0,5514.0,95.0,11483.0
287,California,Male,75,8582.0,49880.0,8543.0,5378.0,77.0,11823.0
288,California,Male,85,7145.0,52417.0,7238.0,4002.0,75.0,10456.0
290,California,Female,0,8.0,871.0,3.0,0.0,6.0,1.0
292,California,Female,1,8.0,154.0,6.0,0.0,6.0,5.0
293,California,Female,5,8.0,274.0,16.0,0.0,2.0,20.0
294,California,Female,15,48.0,1128.0,40.0,17.0,4.0,77.0
296,California,Female,25,202.0,2463.0,178.0,98.0,19.0,301.0
298,California,Female,35,491.0,4083.0,454.0,281.0,22.0,685.0
300,California,Female,45,1181.0,8371.0,1103.0,707.0,36.0,1613.0
302,California,Female,55,2952.0,18911.0,2878.0,1898.0,63.0,3995.0
303,California,Female,65,4795.0,31043.0,4778.0,3030.0,75.0,6616.0
304,California,Female,75,6336.0,43740.0,6155.0,3755.0,96.0,8829.0
305,California,Female,85,8702.0,75238.0,8064.0,4283.0,89.0,12571.0
324,Colorado,Male,0,2.0,195.0,0.0,0.0,4.0,2.0
326,Colorado,Male,1,0.0,33.0,7.0,0.0,4.0,7.0
327,Colorado,Male,5,1.0,76.0,0.0,0.0,0.0,4.0
328,Colorado,Male,15,13.0,645.0,8.0,8.0,4.0,21.0
330,Colorado,Male,25,21.0,1210.0,29.0,6.0,4.0,43.0
332,Colorado,Male,35,52.0,1499.0,69.0,28.0,1.0,98.0
334,Colorado,Male,45,198.0,2178.0,181.0,108.0,10.0,281.0
336,Colorado,Male,55,410.0,4459.0,403.0,215.0,16.0,614.0
337,Colorado,Male,65,810.0,6546.0,829.0,491.0,14.0,1162.0
338,Colorado,Male,75,1008.0,7054.0,915.0,573.0,6.0,1354.0
339,Colorado,Male,85,952.0,6764.0,759.0,458.0,15.0,1266.0
341,Colorado,Female,0,0.0,187.0,1.0,0.0,0.0,3.0
343,Colorado,Female,1,0.0,18.0,7.0,0.0,0.0,4.0
344,Colorado,Female,5,0.0,35.0,1.0,0.0,6.0,4.0
345,Colorado,Female,15,6.0,246.0,1.0,1.0,0.0,10.0
347,Colorado,Female,25,11.0,476.0,21.0,4.0,7.0,31.0
349,Colorado,Female,35,28.0,740.0,46.0,14.0,4.0,64.0
351,Colorado,Female,45,75.0,1228.0,94.0,37.0,8.0,140.0
353,Colorado,Female,55,187.0,2654.0,240.0,112.0,15.0,330.0
354,Colorado,Female,65,437.0,4521.0,430.0,227.0,13.0,651.0
355,Colorado,Female,75,756.0,6256.0,633.0,343.0,3.0,1054.0
356,Colorado,Female,85,1271.0,10394.0,829.0,463.0,20.0,1657.0
375,Connecticut,Male,0,0.0,98.0,0.0,0.0,0.0,0.0
377,Connecticut,Male,1,0.0,11.0,0.0,0.0,1.0,5.0
378,Connecticut,Male,5,0.0,19.0,6.0,0.0,0.0,8.0
379,Connecticut,Male,15,2.0,219.0,7.0,8.0,0.0,1.0
381,Connecticut,Male,25,14.0,581.0,3.0,3.0,4.0,22.0
383,Connecticut,Male,35,35.0,732.0,22.0,4.0,0.0,50.0
385,Connecticut,Male,45,141.0,1378.0,68.0,38.0,3.0,173.0
387,Connecticut,Male,55,427.0,3049.0,230.0,135.0,5.0,529.0
388,Connecticut,Male,65,780.0,4167.0,449.0,262.0,14.0,978.0
389,Connecticut,Male,75,1065.0,5292.0,557.0,325.0,11.0,1308.0
390,Connecticut,Male,85,1264.0,6369.0,708.0,374.0,10.0,1608.0
392,Connecticut,Female,0,1.0,66.0,0.0,0.0,0.0,6.0
394,Connecticut,Female,1,0.0,11.0,3.0,0.0,0.0,8.0
395,Connecticut,Female,5,3.0,15.0,2.0,0.0,0.0,5.0
396,Connecticut,Female,15,5.0,79.0,1.0,0.0,0.0,4.0
398,Connecticut,Female,25,8.0,190.0,1.0,2.0,4.0,14.0
400,Connecticut,Female,35,19.0,366.0,16.0,8.0,0.0,32.0
402,Connecticut,Female,45,62.0,715.0,43.0,22.0,7.0,88.0
404,Connecticut,Female,55,244.0,1836.0,154.0,77.0,7.0,328.0
405,Connecticut,Female,65,515.0,3075.0,316.0,164.0,3.0,671.0
406,Connecticut,Female,75,966.0,5055.0,483.0,280.0,15.0,1184.0
407,Connecticut,Female,85,2091.0,10513.0,846.0,443.0,13.0,2507.0
426,Delaware,Male,0,0.0,37.0,0.0,0.0,0.0,0.0
428,Delaware,Male,1,4.0,6.0,3.0,0.0,0.0,6.0
429,Delaware,Male,5,1.0,7.0,5.0,6.0,0.0,5.0
430,Delaware,Male,15,1.0,98.0,6.0,0.0,0.0,4.0
432,Delaware,Male,25,7.0,207.0,3.0,6.0,5.0,6.0
434,Delaware,Male,35,2.0,230.0,5.0,4.0,0.0,8.0
436,Delaware,Male,45,28.0,420.0,26.0,16.0,0.0,38.0
438,Delaware,Male,55,86.0,935.0,73.0,45.0,0.0,114.0
439,Delaware,Male,65,154.0,1490.0,145.0,85.0,4.0,215.0
440,Delaware,Male,75,227.0,1741.0,182.0,113.0,3.0,299.0
441,Delaware,Male,85,191.0,1565.0,130.0,82.0,3.0,240.0
443,Delaware,Female,0,0.0,35.0,5.0,0.0,0.0,5.0
445,Delaware,Female,1,0.0,8.0,0.0,0.0,0.0,0.0
446,Delaware,Female,5,0.0,11.0,6.0,0.0,0.0,7.0
447,Delaware,Female,15,1.0,37.0,7.0,2.0,0.0,4.0
449,Delaware,Female,25,4.0,57.0,3.0,6.0,0.0,5.0
451,Delaware,Female,35,7.0,136.0,8.0,4.0,4.0,2.0
453,Delaware,Female,45,25.0,221.0,19.0,10.0,1.0,35.0
455,Delaware,Female,55,63.0,635.0,58.0,34.0,2.0,89.0
456,Delaware,Female,65,111.0,1157.0,119.0,57.0,4.0,177.0
457,Delaware,Female,75,182.0,1614.0,161.0,85.0,6.0,259.0
458,Delaware,Female,85,305.0,2437.0,172.0,94.0,2.0,388.0
477,District of Columbia,Male,0,6.0,71.0,5.0,0.0,0.0,8.0
479,District of Columbia,Male,1,7.0,16.0,7.0,7.0,0.0,3.0
480,District of Columbia,Male,5,0.0,14.0,1.0,0.0,0.0,4.0
481,District of Columbia,Male,15,3.0,120.0,7.0,0.0,0.0,6.0
483,District of Columbia,Male,25,5.0,216.0,14.0,3.0,0.0,15.0
485,District of Columbia,Male,35,33.0,293.0,33.0,27.0,2.0,40.0
487,District of Columbia,Male,45,80.0,441.0,85.0,70.0,3.0,96.0
489,District of Columbia,Male,55,155.0,1028.0,186.0,130.0,3.0,212.0
490,District of Columbia,Male,65,216.0,1193.0,265.0,192.0,7.0,291.0
491,District of Columbia,Male,75,159.0,862.0,194.0,138.0,0.0,215.0
492,District of Columbia,Male,85,107.0,666.0,119.0,86.0,4.0,142.0
494,District of Columbia,Female,0,0.0,51.0,0.0,0.0,4.0,6.0
496,District of Columbia,Female,1,0.0,17.0,5.0,0.0,1.0,7.0
497,District of Columbia,Female,5,0.0,19.0,0.0,0.0,6.0,7.0
498,District of Columbia,Female,15,2.0,25.0,6.0,3.0,0.0,8.0
500,District of Columbia,Female,25,5.0,79.0,10.0,6.0,0.0,10.0
502,District of Columbia,Female,35,8.0,124.0,11.0,8.0,0.0,11.0
504,District of Columbia,Female,45,31.0,256.0,41.0,26.0,0.0,46.0
506,District of Columbia,Female,55,96.0,667.0,108.0,77.0,0.0,127.0
507,District of Columbia,Female,65,142.0,846.0,173.0,119.0,4.0,197.0
508,District of Columbia,Female,75,118.0,798.0,145.0,99.0,0.0,164.0
509,District of Columbia,Female,85,159.0,1139.0,200.0,137.0,2.0,223.0
528,Florida,Male,0,0.0,785.0,4.0,0.0,3.0,4.0
530,Florida,Male,1,0.0,159.0,6.0,0.0,2.0,11.0
531,Florida,Male,5,2.0,262.0,4.0,3.0,4.0,10.0
532,Florida,Male,15,25.0,1968.0,34.0,3.0,4.0,54.0
534,Florida,Male,25,109.0,4269.0,147.0,64.0,6.0,198.0
536,Florida,Male,35,304.0,5609.0,315.0,171.0,10.0,458.0
538,Florida,Male,45,803.0,9621.0,851.0,480.0,33.0,1205.0
540,Florida,Male,55,2210.0,22789.0,2405.0,1356.0,46.0,3304.0
541,Florida,Male,65,4235.0,34733.0,4768.0,2737.0,56.0,6316.0
542,Florida,Male,75,5535.0,41946.0,6113.0,3514.0,62.0,8191.0
543,Florida,Male,85,4363.0,38946.0,4998.0,2655.0,35.0,6737.0
545,Florida,Female,0,0.0,655.0,11.0,0.0,3.0,13.0
547,Florida,Female,1,2.0,124.0,7.0,0.0,2.0,4.0
548,Florida,Female,5,2.0,158.0,8.0,0.0,2.0,1.0
549,Florida,Female,15,20.0,731.0,24.0,12.0,5.0,34.0
551,Florida,Female,25,67.0,1856.0,105.0,40.0,3.0,138.0
553,Florida,Female,35,173.0,3135.0,225.0,95.0,13.0,316.0
555,Florida,Female,45,445.0,5744.0,530.0,260.0,21.0,735.0
557,Florida,Female,55,1265.0,14044.0,1579.0,779.0,36.0,2099.0
558,Florida,Female,65,2556.0,23742.0,2942.0,1559.0,53.0,3990.0
559,Florida,Female,75,3900.0,34835.0,4260.0,2348.0,55.0,5864.0
560,Florida,Female,85,4872.0,53725.0,4921.0,2558.0,55.0,7280.0
579,Georgia,Male,0,3.0,421.0,4.0,0.0,0.0,2.0
581,Georgia,Male,1,5.0,92.0,7.0,0.0,2.0,3.0
582,Georgia,Male,5,1.0,166.0,5.0,0.0,0.0,3.0
583,Georgia,Male,15,18.0,1048.0,18.0,2.0,1.0,34.0
585,Georgia,Male,25,68.0,1943.0,51.0,21.0,8.0,101.0
587,Georgia,Male,35,183.0,2665.0,148.0,82.0,3.0,257.0
589,Georgia,Male,45,549.0,5025.0,450.0,283.0,7.0,725.0
591,Georgia,Male,55,1362.0,11371.0,1177.0,723.0,17.0,1833.0
592,Georgia,Male,65,2381.0,15942.0,2078.0,1328.0,26.0,3156.0
593,Georgia,Male,75,2592.0,16006.0,2301.0,1466.0,18.0,3444.0
594,Georgia,Male,85,1548.0,11234.0,1326.0,792.0,13.0,2095.0
596,Georgia,Female,0,0.0,355.0,1.0,0.0,0.0,5.0
598,Georgia,Female,1,0.0,83.0,6.0,0.0,7.0,7.0
599,Georgia,Female,5,2.0,109.0,6.0,0.0,2.0,3.0
600,Georgia,Female,15,14.0,365.0,13.0,3.0,8.0,23.0
602,Georgia,Female,25,60.0,855.0,48.0,29.0,4.0,81.0
604,Georgia,Female,35,125.0,1617.0,124.0,56.0,3.0,199.0
606,Georgia,Female,45,347.0,3384.0,325.0,183.0,10.0,499.0
608,Georgia,Female,55,943.0,7588.0,872.0,522.0,25.0,1318.0
609,Georgia,Female,65,1673.0,12068.0,1421.0,886.0,28.0,2235.0
610,Georgia,Female,75,2102.0,15477.0,1754.0,1120.0,21.0,2757.0
611,Georgia,Female,85,2167.0,19153.0,1651.0,955.0,11.0,2872.0
630,Hawaii,Male,0,0.0,49.0,5.0,0.0,0.0,2.0
632,Hawaii,Male,1,0.0,8.0,0.0,0.0,0.0,0.0
633,Hawaii,Male,5,0.0,14.0,8.0,0.0,8.0,8.0
634,Hawaii,Male,15,4.0,83.0,7.0,0.0,0.0,1.0
636,Hawaii,Male,25,2.0,162.0,7.0,7.0,0.0,10.0
638,Hawaii,Male,35,7.0,281.0,10.0,7.0,0.0,15.0
640,Hawaii,Male,45,18.0,508.0,23.0,5.0,0.0,35.0
642,Hawaii,Male,55,44.0,1148.0,65.0,25.0,4.0,86.0
643,Hawaii,Male,65,79.0,1791.0,129.0,44.0,1.0,167.0
644,Hawaii,Male,75,61.0,1787.0,150.0,33.0,5.0,184.0
645,Hawaii,Male,85,57.0,2092.0,192.0,30.0,6.0,223.0
647,Hawaii,Female,0,0.0,48.0,4.0,0.0,0.0,7.0
649,Hawaii,Female,1,0.0,6.0,1.0,0.0,0.0,6.0
650,Hawaii,Female,5,0.0,8.0,7.0,0.0,0.0,6.0
651,Hawaii,Female,15,8.0,29.0,8.0,6.0,0.0,7.0
653,Hawaii,Female,25,8.0,71.0,3.0,7.0,0.0,3.0
655,Hawaii,Female,35,3.0,115.0,2.0,2.0,0.0,12.0
657,Hawaii,Female,45,5.0,271.0,13.0,7.0,0.0,16.0
659,Hawaii,Female,55,26.0,616.0,47.0,13.0,7.0,62.0
660,Hawaii,Female,65,27.0,1075.0,70.0,14.0,1.0,87.0
661,Hawaii,Female,75,31.0,1322.0,71.0,16.0,5.0,87.0
662,Hawaii,Female,85,70.0,3173.0,198.0,30.0,6.0,241.0
681,Idaho,Male,0,0.0,59.0,0.0,0.0,0.0,0.0
683,Idaho,Male,1,0.0,16.0,5.0,0.0,0.0,1.0
684,Idaho,Male,5,0.0,28.0,3.0,0.0,0.0,7.0
685,Idaho,Male,15,1.0,177.0,5.0,1.0,0.0,5.0
687,Idaho,Male,25,2.0,230.0,4.0,2.0,0.0,7.0
689,Idaho,Male,35,10.0,357.0,3.0,4.0,7.0,15.0
691,Idaho,Male,45,34.0,562.0,28.0,12.0,7.0,51.0
693,Idaho,Male,55,104.0,1390.0,103.0,51.0,6.0,161.0
694,Idaho,Male,65,264.0,2330.0,216.0,134.0,7.0,354.0
695,Idaho,Male,75,394.0,2925.0,324.0,192.0,6.0,527.0
696,Idaho,Male,85,331.0,2599.0,238.0,147.0,5.0,423.0
698,Idaho,Female,0,0.0,46.0,0.0,0.0,0.0,0.0
700,Idaho,Female,1,0.0,1.0,0.0,0.0,0.0,0.0
701,Idaho,Female,5,0.0,8.0,0.0,0.0,0.0,0.0
702,Idaho,Female,15,0.0,56.0,8.0,0.0,4.0,3.0
704,Idaho,Female,25,6.0,125.0,3.0,0.0,0.0,7.0
706,Idaho,Female,35,10.0,192.0,8.0,2.0,0.0,13.0
708,Idaho,Female,45,25.0,342.0,26.0,15.0,0.0,36.0
710,Idaho,Female,55,59.0,947.0,75.0,32.0,6.0,104.0
711,Idaho,Female,65,152.0,1661.0,139.0,76.0,1.0,217.0
712,Idaho,Female,75,214.0,2355.0,160.0,86.0,5.0,290.0
713,Idaho,Female,85,347.0,3469.0,225.0,110.0,2.0,468.0
732,Illinois,Male,0,5.0,457.0,4.0,6.0,0.0,2.0
734,Illinois,Male,1,0.0,72.0,2.0,0.0,5.0,4.0
735,Illinois,Male,5,4.0,121.0,7.0,5.0,0.0,4.0
736,Illinois,Male,15,20.0,1164.0,18.0,4.0,0.0,30.0
738,Illinois,Male,25,86.0,2262.0,65.0,27.0,5.0,126.0
740,Illinois,Male,35,235.0,2925.0,171.0,97.0,6.0,313.0
742,Illinois,Male,45,643.0,5377.0,484.0,305.0,7.0,827.0
744,Illinois,Male,55,1445.0,12381.0,1269.0,772.0,21.0,1961.0
745,Illinois,Male,65,2733.0,17785.0,2401.0,1503.0,18.0,3649.0
